Transaction Date,Debit,Credit,Category
2024-06-22,-45.22,,NEEDS
2024-06-22,,54,
2024-06-24,-42,,NEEDS
2024-06-26,-16.5,,WANTS
2024-06-26,-25.08,,NEEDS
2024-06-28,-10,,NEEDS
2024-06-28,-500,,MOM
2024-06-30,,0,SAVING
2024-07-02,-10.71,,NEEDS
2024-07-03,,1548.64,
2024-07-04,-30.64,,NEEDS
2024-07-05,,129.75,
2024-07-05,-20,,NEEDS
2024-07-06,-226,,WANTS
2024-07-07,-146.9,,NEEDS
2024-07-07,-110.5,,WANTS
2024-07-07,-18.07,,NEEDS
2024-07-07,-5,,WANTS
2024-07-09,-22,,NEEDS
2024-07-10,-50,,WANTS
2024-07-10,,360,
2024-07-12,,227.37,
2024-07-12,-717.12,,SAVING
2024-07-13,-15.91,,WANTS
2024-07-13,-30.25,,NEEDS
2024-07-13,-15,,NEEDS
2024-07-15,,140,
2024-07-15,-140,,SAVING
2024-07-15,-17,,NEEDS
2024-07-17,,1558.49,
2024-07-17,-10.45,,NEEDS
2024-07-18,-29.82,,WANTS
2024-07-19,-13.37,,WANTS
2024-07-19,-25,,NEEDS
2024-07-20,-6.19,,NEEDS
2024-07-20,-5.19,,NEEDS
2024-07-20,-20.99,,WANTS
2024-07-20,-7.05,,NEEDS
2024-07-20,-38.53,,NEEDS
2024-07-20,-100,,NEEDS
2024-07-21,-2,,WANTS
2024-07-22,-50,,WANTS
2024-07-22,-15.19,,NEEDS
2024-07-22,-16.31,,NEEDS
2024-07-22,-15,,WANTS
2024-07-31,-2034.06,,SAVING
2024-09-01,-9579.34,,NEEDS
2024-09-05,-11,,WANTS
2024-09-06,-180.8,,NEEDS
2024-09-08,-5.64,,WANTS
2024-09-11,,1561.62,
2024-09-12,-47,,NEEDS
2024-09-12,-15,,NEEDS
2024-09-12,-14.68,,WANTS
2024-09-13,-6.5,,NEEDS
2024-09-13,-16.83,,WANTS
2024-09-13,-5.28,,NEEDS
2024-09-15,-16.94,,NEEDS
2024-09-15,-11.39,,NEEDS
2024-09-15,-11.29,,WANTS
2024-09-15,,31.5,
2024-09-16,-86.31,,NEEDS
2024-09-17,-39.54,,WANTS
2024-09-18,-28.24,,WANTS
2024-09-20,-15,,NEEDS
2024-09-21,-20.33,,WANTS
2024-09-23,-22.59,,NEEDS
2024-09-23,-6.38,,NEEDS
2024-09-23,-18.63,,NEEDS
2024-09-23,-20.07,,NEEDS
2024-09-24,-79.1,,NEEDS
2024-09-25,,1561.61,
2024-09-27,-25.01,,NEEDS
2024-09-27,-13,,NEEDS
2024-09-28,-16.6,,NEEDS
2024-09-28,-84.7,,NEEDS
2024-09-29,-10.25,,NEEDS
2024-09-29,-50,,NEEDS
2024-09-30,-50.47,,NEEDS
2024-09-30,-28.37,,NEEDS
2024-09-30,-2197.79,,SAVING
2024-10-01,-2.8,,NEEDS
2024-10-01,-50.47,,NEEDS
2024-10-03,-593.25,,NEEDS
2024-10-04,129.75,,
2024-10-04,-9.93,,NEEDS
2024-10-05,-13.39,,NEEDS
2024-10-05,-16.89,,NEEDS
2024-10-07,-8.49,,NEEDS
2024-10-07,-180.8,,NEEDS
2024-10-07,-26.68,,WANTS
2024-10-07,-57.83,,WANTS
2024-10-09,,1561.61,
2024-10-11,227.37,,
2024-10-11,-50,,NEEDS
2024-10-11,-14.68,,WANTS
2024-10-11,-12.4,,NEEDS
2024-10-11,-23.32,,NEEDS
2024-10-14,-8.25,,NEEDS
2024-10-15,,140,
2024-10-16,-19.53,,WANTS
2024-10-17,-23.72,,WANTS
2024-10-17,-10.5,,NEEDS
2024-10-18,-30.09,,NEEDS
2024-10-21,,1000,
2024-10-21,-6.53,,NEEDS
2024-10-21,,3000,
2024-10-21,,1000,
2024-10-23,-56.35,,NEEDS
2024-10-23,,1561.61,
2024-10-26,-4.92,,NEEDS
2024-10-26,-50,,WANTS
2024-10-27,-7.75,,NEEDS
2024-10-27,-16.37,,NEEDS
2024-10-28,,25,
2024-10-28,-51.4,,NEEDS
2024-10-28,,33.89,
2024-10-28,-15.67,,NEEDS
2024-10-28,-45.19,,WANTS
2024-10-28,-25,,NEEDS
2024-10-28,-45.19,,WANTS
2024-10-28,-45.19,,WANTS
2024-10-28,-45.19,,WANTS
2024-10-29,-5.3,,WANTS
2024-10-29,-5.3,,WANTS
2024-10-29,-4.55,,WANTS
2024-10-31,-6739.19,,SAVING
2024-11-02,-6,,WANTS
2024-11-06,-163.85,,NEEDS
2024-11-06,,1561.61,
2024-11-08,-2,,WANTS
2024-11-09,-50,,NEEDS
2024-11-10,-12.62,,NEEDS
2024-11-10,-14.68,,WANTS
2024-11-11,-11.3,,NEEDS
2024-11-11,-17.14,,NEEDS
2024-11-12,-55,,WANTS
2024-11-12,-12.5,,NEEDS
2024-11-12,,200,
2024-11-13,-44.75,,WANTS
2024-11-13,-14.26,,NEEDS
2024-11-13,-12.73,,NEEDS
2024-11-14,-14.56,,NEEDS
2024-11-15,-19.85,,WANTS
2024-11-15,-19.93,,WANTS
2024-11-15,-6.77,,WANTS
2024-11-16,-7.9,,WANTS
2024-11-16,-29.33,,WANTS
2024-11-16,-15.99,,NEEDS
2024-11-17,-14.75,,NEEDS
2024-11-17,-21.72,,NEEDS
2024-11-18,-39.54,,WANTS
2024-11-18,,200,
2024-11-18,,20,
2024-11-19,-16.88,,NEEDS
2024-11-20,-90.39,,WANTS
2024-11-20,,1561.61,
2024-11-21,-24.39,,NEEDS
2024-11-23,-54.17,,NEEDS
2024-11-23,-112.67,,WANTS
2024-11-23,-327.7,,WANTS
2024-11-24,-44.29,,WANTS
2024-11-26,-7.33,,WANTS
2024-11-27,-60.56,,WANTS
2024-11-28,-9.16,,NEEDS
2024-11-30,-170,,WANTS
2024-11-30,-1417.288,,SAVING
2024-11-30,-600,,MOM
2024-12-02,-0.83,,WANTS
2024-12-02,-50,,WANTS
2024-12-03,-96.73,,WANTS
2024-12-04,,1615.96,
2024-12-04,-28.24,,WANTS
2024-12-05,-26.89,,NEEDS
2024-12-05,-19.2,,WANTS
2024-12-06,-76.63,,NEEDS
2024-12-06,-28.32,,WANTS
2024-12-07,-19.29,,NEEDS
2024-12-07,-17.72,,NEEDS
2024-12-07,-163.85,,NEEDS
2024-12-07,-11.75,,WANTS
2024-12-07,-39.54,,WANTS
2024-12-07,-50,,NEEDS
2024-12-08,-45.2,,WANTS
2024-12-08,-14.02,,WANTS
2024-12-08,-5.61,,WANTS
2024-12-08,-4.21,,WANTS
2024-12-09,-13.56,,WANTS
2024-12-09,-21.03,,WANTS
2024-12-10,-14.68,,WANTS
2024-12-10,-25.05,,WANTS
2024-12-10,-22.02,,WANTS
2024-12-10,-6,,WANTS
2024-12-11,-44.26,,WANTS
2024-12-11,-10.93,,NEEDS
2024-12-13,-21.56,,NEEDS
2024-12-14,-33.35,,NEEDS
2024-12-16,-8.06,,WANTS
2024-12-16,-12.42,,WANTS
2024-12-16,-16.94,,WANTS
2024-12-16,-22.36,,WANTS
2024-12-16,-35,,NEEDS
2024-12-17,-56.49,,WANTS
2024-12-17,-16.98,,NEEDS
2024-12-18,,1561.6,
2024-12-21,-4.99,,NEEDS
2024-12-21,-13.99,,NEEDS
2024-12-22,-3.15,,WANTS
2024-12-22,-10.16,,WANTS
2024-12-22,-40.75,,NEEDS
2024-12-24,-19,,NEEDS
2024-12-26,-23.98,,NEEDS
2024-12-27,-45.19,,NEEDS
2024-12-27,39.66,,NEEDS
2024-12-27,-700,,MOM
2024-12-28,-12.49,,NEEDS
2024-12-28,-4.51,,WANTS
2024-12-28,-14,,NEEDS
2024-12-28,-24.84,,WANTS
2024-12-28,-27.2,,NEEDS
2024-12-29,-63.75,,NEEDS
2024-12-29,-72.31,,WANTS
2024-12-30,-41.61,,WANTS
2024-12-30,-14.68,,WANTS
2024-12-30,-20.71,,WANTS
2024-12-31,-16.87,,NEEDS
2024-12-31,,1784.36,
2024-12-31,-1984.768,,SAVING
2025-01-01,-42.79,,WANTS
2025-01-01,-14.26,,WANTS
2025-01-01,-7.13,,WANTS
2025-01-01,-28.52,,WANTS
2025-01-01,-14.26,,WANTS
2025-01-03,-20.71,,NEEDS
2025-01-03,,129.75,
2025-01-04,-9.37,,NEEDS
2025-01-04,-31.98,,NEEDS
2025-01-04,-935,,WANTS
2025-01-06,,21.1,
2025-01-06,-163.85,,NEEDS
2025-01-07,-6,,WANTS
2025-01-09,-80,,NEEDS
2025-01-10,-13.45,,NEEDS
2025-01-10,-12.85,,NEEDS
2025-01-10,-13.75,,NEEDS
2025-01-10,-14.68,,WANTS
2025-01-10,,227.39,
2025-01-11,-8.13,,WANTS
2025-01-11,-6.25,,NEEDS
2025-01-11,-46.67,,NEEDS
2025-01-11,-11.99,,NEEDS
2025-01-11,-25,,NEEDS
2025-01-11,-71.68,,NEEDS
2025-01-11,-5.26,,NEEDS
