Transaction Date,Debit,Credit,Category
2025-01-11,-6.6,,NEEDS
2025-01-12,-90.28,,WANTS
2025-01-13,-50,,NEEDS
2025-01-15,,1809.57,
2025-01-15,-9.02,,NEEDS
2025-01-15,,140,
2025-01-16,-12.42,,WANTS
2025-01-16,-12.43,,NEEDS
2025-01-16,-12.43,,NEEDS
2025-01-17,-49.13,,WANTS
2025-01-17,-24.97,,NEEDS
2025-01-22,-102.82,,WANTS
2025-01-22,-16.37,,NEEDS
2025-01-23,-9.93,,NEEDS
2025-01-26,-7.65,,NEEDS
2025-01-28,-14.57,,NEEDS
2025-01-28,-15.32,,NEEDS
2025-01-28,-14.97,,NEEDS
2025-01-29,-15.82,,NEEDS
2025-01-29,,1809.4,
2025-01-30,-1654.952,,SAVING
2025-01-30,-13,,WANTS
2025-02-01,-21.62,,WANTS
2025-02-03,-104.4,,WANTS
2025-02-04,-14.62,,WANTS
2025-02-04,-23,,NEEDS
2025-02-05,-5.64,,WANTS
2025-02-05,-80.22,,WANTS
2025-02-05,-66.54,,WANTS
2025-02-06,-50,,NEEDS
2025-02-06,-39.96,,WANTS
2025-02-06,-243.5,,NEEDS
2025-02-06,43.66,,NEEDS
2025-02-06,-5.59,,NEEDS
2025-02-07,-6,,WANTS
2025-02-07,-55.94,,NEEDS
2025-02-08,-2.79,,NEEDS
2025-02-08,-3.75,,NEEDS
2025-02-09,,200,
2025-02-10,-90.39,,WANTS
2025-02-10,-14.68,,WANTS
2025-02-12,,1809.41,
2025-02-12,-50,,WANTS
2025-02-13,-16.04,,NEEDS
2025-02-14,-25.98,,NEEDS
2025-02-15,-50.84,,WANTS
2025-02-18,-37.61,,WANTS
2025-02-22,-26.09,,NEEDS
2025-02-23,-28.58,,NEEDS
2025-02-23,-5.64,,WANTS
2025-02-25,-8.76,,NEEDS
2025-02-26,,1809.41,
2025-02-26,-25,,WANTS
2025-02-26,-19.82,,WANTS
2025-02-26,-26.17,,NEEDS
2025-02-26,-38.41,,WANTS
2025-02-27,-20.33,,WANTS
2025-02-27,-50,,NEEDS
2025-02-28,-1909.41,,SAVING
2025-02-28,-38.7,,WANTS
2025-02-28,-500,,MOM
2025-03-01,-9.61,,NEEDS
2025-03-01,-14.33,,WANTS
2025-03-01,-21.5,,WANTS
2025-03-01,-2.87,,WANTS
2025-03-01,-21.5,,WANTS
2025-03-02,-19.32,,NEEDS
2025-03-02,-14.63,,NEEDS
2025-03-03,-15.81,,WANTS
2025-03-03,-20,,NEEDS
2025-03-04,-4.5,,NEEDS
2025-03-05,-11.29,,WANTS
2025-03-05,-16.53,,NEEDS
2025-03-05,-39.57,,WANTS
2025-03-06,-9.03,,WANTS
2025-03-07,-16.94,,NEEDS
2025-03-08,-4.62,,NEEDS
2025-03-08,-6.2,,WANTS
2025-03-10,-169.5,,NEEDS
2025-03-10,-14.68,,WANTS
2025-03-10,-17.54,,WANTS
2025-03-10,-106,,WANTS
2025-03-11,-17.62,,WANTS
2025-03-11,-33.94,,NEEDS
2025-03-11,-10.06,,NEEDS
2025-03-11,-28.19,,NEEDS
2025-03-12,,1807.19,
2025-03-13,-38.86,,NEEDS
2025-03-15,-904,,WANTS
2025-03-16,-25.7,,WANTS
2025-03-17,-102.8,,WANTS
2025-03-17,-22.02,,WANTS
2025-03-18,-28.24,,NEEDS
2025-03-20,-11.61,,NEEDS
2025-03-23,-41.81,,NEEDS
2025-03-25,-34.45,,WANTS
2025-03-25,-14.67,,NEEDS
2025-03-26,-2,,NEEDS
2025-03-26,,1808.66,
2025-03-27,-99.63,,WANTS
2025-03-27,-12,,NEEDS
2025-03-29,-6.75,,NEEDS
2025-03-29,-11.3,,NEEDS
2025-03-29,-50,,NEEDS
2025-03-30,80,,WANTS
2025-03-30,-1446.34,,SAVING
2025-04-04,,129.75,
2025-04-06,-244.7,,NEEDS
2025-04-06,-21.73,,NEEDS
2025-04-07,-12.99,,NEEDS
2025-04-07,-65,,WANTS
2025-04-07,-11.29,,WANTS
2025-04-09,-29.05,,NEEDS
2025-04-09,,1780.28,
2025-04-10,-14.68,,WANTS
2025-04-12,-10.29,,NEEDS
2025-04-15,-33.89,,WANTS
2025-04-16,-11.28,,WANTS
2025-04-16,-11.79,,NEEDS
2025-04-17,,1000,
2025-04-20,-16.48,,NEEDS
2025-04-21,-17.49,,NEEDS
2025-04-21,0,,WANTS
2025-04-22,-11.85,,WANTS
2025-04-23,,1963.1,
2025-04-23,-50,,NEEDS
2025-04-25,-14.68,,WANTS
2025-04-25,-31.66,,NEEDS
2025-04-25,-17.39,,NEEDS
2025-04-26,-90.39,,WANTS
2025-04-29,-14.4,,NEEDS
2025-04-30,-4142.1,,SAVING
2025-05-02,-18.7,,WANTS
2025-05-04,-31.11,,NEEDS
2025-05-05,,791,
2025-05-05,-212.06,,NEEDS
2025-05-05,-1580.87,,WANTS
2025-05-05,,3692.83,
2025-05-06,-50,,NEEDS
2025-05-07,,1780.63,
2025-05-07,-11.29,,WANTS
2025-05-08,-41.68,,WANTS
2025-05-09,-73.44,,WANTS
2025-05-09,-6,,WANTS
2025-05-10,-12,,WANTS
2025-05-10,-14.68,,WANTS
2025-05-11,-25.41,,WANTS
2025-05-11,-128.21,,WANTS
2025-05-12,-11.3,,NEEDS
2025-05-15,,151,
2025-05-16,-56.5,,NEEDS
2025-05-16,-25.32,,NEEDS
2025-05-17,-21.46,,NEEDS
2025-05-17,-28.74,,NEEDS
2025-05-20,-16.94,,WANTS
2025-05-20,-53.42,,WANTS
2025-05-21,,1798.57,
2025-05-21,-19.76,,WANTS
2025-05-23,-26.71,,WANTS
2025-05-24,-13,,WANTS
2025-05-26,-25,,WANTS
2025-05-30,-56.5,,NEEDS
2025-05-31,-1000,,MOM
2025-05-31,-4653.93,,SAVING
2025-06-01,-13,,NEEDS
2025-06-02,-3.83,,NEEDS
2025-06-02,-11.29,,WANTS
2025-06-04,,1798.56,
2025-06-04,-146.58,,WANTS
2025-06-05,-33.89,,WANTS
2025-06-05,-1.5,,NEEDS
2025-06-05,-8.91,,NEEDS
2025-06-06,-48.1,,NEEDS
2025-06-06,-212.06,,NEEDS
2025-06-07,-11.29,,WANTS
2025-06-07,-132.55,,NEEDS
2025-06-07,-47.46,,NEEDS
2025-06-08,-20.88,,NEEDS
2025-06-09,-50,,WANTS
2025-06-09,-32.49,,NEEDS
2025-06-10,-50,,NEEDS
2025-06-10,-14.68,,WANTS
2025-06-11,-21.55,,NEEDS
2025-06-12,-1.5,,NEEDS
2025-06-14,-935,,WANTS
2025-06-14,-18,,NEEDS
2025-06-14,-16.21,,NEEDS
2025-06-15,-8.33,,NEEDS
2025-06-17,-6.77,,WANTS
2025-06-18,,1798.58,
2025-06-19,-19.37,,WANTS
2025-06-20,-22.02,,WANTS
2025-06-20,-22.02,,WANTS
2025-06-21,-62.9,,WANTS
2025-06-21,-275,,WANTS
2025-06-21,-6.77,,NEEDS
2025-06-21,-7.35,,WANTS
2025-06-23,-25.99,,NEEDS
2025-06-25,-5,,NEEDS
2025-06-25,-26.25,,NEEDS
2025-06-26,-50,,WANTS
2025-06-27,-27.11,,WANTS
2025-06-27,-21.56,,NEEDS
2025-06-28,-15.24,,NEEDS
2025-06-29,-113,,WANTS
2025-06-30,-3.11,,NEEDS
2025-06-30,-25,,WANTS
2025-06-30,-14.68,,WANTS
2025-06-30,-1008.9,,SAVING
